City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Chokurdakh,RU,70.6333,147.9167,-16.91,86,95,3.65,overcast clouds
1,Lima,PE,-12.0432,-77.0282,68.9,76,0,1.01,clear sky
2,Ushuaia,AR,-54.8,-68.3,55.06,67,40,4.61,scattered clouds
3,Klaksvik,FO,62.2266,-6.589,40.12,91,100,31.76,overcast clouds
4,Tasiilaq,GL,65.6145,-37.6368,12.36,70,77,4.65,broken clouds
5,Shitanjing,CN,39.2342,106.3439,29.66,23,2,2.33,clear sky
6,Korla,CN,41.7597,86.1469,28.2,46,2,5.57,clear sky
7,Bluff,NZ,-46.6,168.3333,67.8,75,94,3.65,overcast clouds
8,Albany,US,42.6001,-73.9662,20.26,69,100,3.0,overcast clouds
9,Valpoi,IN,15.5305,74.1356,80.15,24,10,9.01,clear sky
10,Srednekolymsk,RU,67.45,153.6833,-12.12,98,100,2.46,overcast clouds
11,Beyneu,KZ,45.3167,55.2,27.72,79,99,16.64,overcast clouds
12,Rikitea,PF,-23.1203,-134.9692,77.88,73,94,14.07,overcast clouds
13,Busselton,AU,-33.65,115.3333,100.04,42,94,9.17,overcast clouds
14,Flinders,AU,-34.5833,150.8552,85.8,72,81,5.99,moderate rain
15,Vestmanna,FO,62.1564,-7.1664,38.32,70,100,20.71,overcast clouds
16,Qaanaaq,GL,77.484,-69.3632,-13.95,62,56,8.48,broken clouds
17,Muscat,OM,23.6139,58.5922,73.42,49,0,4.12,clear sky
18,Victoria,HK,22.2855,114.1577,69.96,82,95,1.99,overcast clouds
19,Hobart,AU,-42.8794,147.3294,72.27,70,75,1.01,broken clouds
20,Castro,BR,-24.7911,-50.0119,59.07,99,100,7.78,overcast clouds
21,Thompson,CA,55.7435,-97.8558,-5.64,77,100,3.44,overcast clouds
22,Digha,IN,21.6833,87.55,71.17,35,1,10.4,clear sky
23,Fort Erie,CA,42.9001,-78.9329,14.54,72,40,3.44,scattered clouds
24,Adrar,MR,20.5022,-10.0711,70.92,12,100,3.51,overcast clouds
25,Punta Arenas,CL,-53.15,-70.9167,57.31,44,0,6.91,light rain
26,Yellowknife,CA,62.456,-114.3525,-8.59,83,75,5.75,light snow
27,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.31,90,67,16.24,broken clouds
28,East London,ZA,-33.0153,27.9116,68.94,83,0,6.91,clear sky
29,Bethel,US,41.3712,-73.414,30.04,88,100,3.0,snow
30,Saint-Philippe,RE,-21.3585,55.7679,83.75,76,0,8.01,clear sky
31,Mar Del Plata,AR,-38.0023,-57.5575,63.09,79,0,1.99,clear sky
32,Vaini,TO,-21.2,-175.2,82.42,79,92,16.44,overcast clouds
33,New Norfolk,AU,-42.7826,147.0587,71.91,51,92,3.0,overcast clouds
34,Sioux Lookout,CA,50.1001,-91.917,-3.62,84,0,5.75,clear sky
35,Aklavik,CA,68.2191,-135.0107,-19.37,87,6,6.15,clear sky
36,Peleduy,RU,59.6289,112.7406,-0.22,91,100,5.55,overcast clouds
37,Atambua,ID,-9.1061,124.8925,78.87,80,100,7.83,overcast clouds
38,Atuona,PF,-9.8,-139.0333,77.61,78,12,13.2,few clouds
39,Hilo,US,19.7297,-155.09,73.13,78,75,4.61,broken clouds
40,Sape,BR,-7.0964,-35.2328,70.97,85,100,4.16,moderate rain
